R4;piO:Simulado;piO:Modelado;piO:Diferença;piO:Porcentagem;
0,666;0,405248809;0,405239;0,000009809;0,0024205176;
0,665;0,404932521;0,404942;0,000009479;0,0023408565;
0,664;0,404619276;0,404645;0,000025724;0,0063573794;
0,663;0,404337213;0,404348;0,000010787;0,0026677871;
0,662;0,404024912;0,404051;0,000026088;0,0064568191;
0,661;0,403744146;0,403752;0,000007854;0,0019452724;
0,66;0,403427626;0,403454;0,000026374;0,0065372662;
0,659;0,403145596;0,403155;0,000009404;0,0023326288;
0,658;0,402829537;0,402855;0,000025463;0,0063208362;
0,657;0,402549207;0,402555;0,000005793;0,0014390684;
0,656;0,402228834;0,402255;0,000026166;0,0065050406;
0,655;0,401945505;0,401954;0,000008495;0,0021134482;
0,654;0,401626881;0,401652;0,000025119;0,0062541169;
0,653;0,401345617;0,40135;0,000004383;0,0010920702;
0,652;0,40102239;0,401048;0,00002561;0,0063859732;
0,651;0,400739315;0,400745;0,000005685;0,0014186179;
0,65;0,400421756;0,400442;0,000020244;0,0050555416;
0,649;0,400108038;0,400138;0,000029962;0,007488197;
0,648;0,399813362;0,399834;0,000020638;0,0051617753;
0,647;0,399498805;0,399529;0,000030195;0,0075579347;
0,646;0,399204491;0,399224;0,000019509;0,0048868497;
0,645;0,398888339;0,398918;0,000029661;0,0074356391;
0,644;0,398592016;0,398612;0,000019984;0,0050135222;
0,643;0,398275226;0,398306;0,000030774;0,007726519;
0,642;0,397979566;0,397999;0,000019434;0,0048830461;
0,641;0,397660969;0,397691;0,000030031;0,0075516252;
0,64;0,397363075;0,397383;0,000019925;0,0050141802;
0,639;0,397044017;0,397074;0,000029983;0,0075512706;
0,638;0,39674661;0,396765;0,00001839;0,0046350929;
0,637;0,396425911;0,396456;0,000030089;0,0075897809;
0,636;0,396126384;0,396146;0,000019616;0,0049518323;
0,635;0,395805024;0,395835;0,000029976;0,0075731391;
0,634;0,395550256;0,395524;0,000026256;0,0066380621;
0,633;0,39518847;0,395213;0,00002453;0,0062069723;
0,632;0,394914998;0,394901;0,000013998;0,0035446231;
0,631;0,394564455;0,394588;0,000023545;0,0059671613;
0,63;0,394242987;0,394275;0,000032013;0,0081197894;
0,629;0,393937784;0,393962;0,000024216;0,0061469747;
0,628;0,39361527;0,393648;0,00003273;0,0083148805;
0,627;0,393310379;0,393333;0,000022621;0,0057512719;
0,626;0,39298617;0,393018;0,00003183;0,0080991937;
0,625;0,392678977;0,392703;0,000024023;0,0061175328;
0,624;0,39235445;0,392387;0,00003255;0,0082957259;
0,623;0,392047515;0,39207;0,000022485;0,0057351097;
0,622;0,391721355;0,391753;0,000031645;0,0080781202;
0,621;0,391412876;0,391436;0,000023124;0,0059076536;
0,62;0,391085565;0,391118;0,000032435;0,0082932376;
0,619;0,390769639;0,390799;0,000029361;0,0075133516;
0,618;0,390450275;0,39048;0,000029725;0,0076127155;
0,617;0,390143963;0,390161;0,000017037;0,0043667542;
0,616;0,389826086;0,389841;0,000014914;0,0038257354;
0,615;0,389490544;0,38952;0,000029456;0,0075624137;
0,614;0,389183483;0,389199;0,000015517;0,0039869859;
0,613;0,388863486;0,388878;0,000014514;0,0037323456;
0,612;0,388540253;0,388556;0,000015747;0,0040527798;
0,611;0,38820383;0,388233;0,00002917;0,0075138115;
0,61;0,387880452;0,38791;0,000029548;0,0076175209;
0,609;0,387572354;0,387586;0,000013646;0,003520829;
0,608;0,38723003;0,387262;0,00003197;0,0082557338;
0,607;0,386909839;0,386937;0,000027161;0,0070197353;
0,606;0,386606975;0,386612;0,000005025;0,0012997612;
0,605;0,386258413;0,386286;0,000027587;0,0071418548;
0,604;0,385952276;0,38596;0,000007724;0,0020012637;
0,603;0,385610728;0,385633;0,000022272;0,0057756061;
0,602;0,385273428;0,385306;0,000032572;0,0084538981;
0,601;0,38495468;0,384978;0,00002332;0,0060576725;
0,6;0,384616835;0,38465;0,000033165;0,0086224957;
0,599;0,384298861;0,384321;0,000022139;0,005760715;
0,598;0,383958793;0,383991;0,000032207;0,0083877879;
0,597;0,383638736;0,383661;0,000022264;0,005803208;
0,596;0,383297909;0,383331;0,000033091;0,0086328599;
0,595;0,382978029;0,383;0,000021971;0,0057367181;
0,594;0,382635537;0,382668;0,000032463;0,0084836927;
0,593;0,382313953;0,382336;0,000022047;0,0057665602;
0,592;0,381970386;0,382003;0,000032614;0,0085379938;
0,591;0,381648847;0,38167;0,000021153;0,0055423759;
0,59;0,381303751;0,381336;0,000032249;0,0084572041;
0,589;0,380979875;0,381002;0,000022125;0,0058072247;
0,588;0,380634277;0,380667;0,000032723;0,0085965966;
0,587;0,380304875;0,380331;0,000026125;0,0068692526;
0,586;0,379960585;0,379995;0,000034415;0,0090571083;
0,585;0,379631938;0,379659;0,000027062;0,0071282294;
0,584;0,379286663;0,379322;0,000035337;0,0093162659;
0,583;0,378957993;0,378984;0,000026007;0,0068625304;
0,582;0,378619172;0,378646;0,000026828;0,0070854969;
0,581;0,378272119;0,378307;0,000034881;0,0092207144;
0,58;0,377942016;0,377968;0,000025984;0,0068748924;
0,579;0,377593183;0,377628;0,000034817;0,0092203452;
0,578;0,377260994;0,377287;0,000026006;0,0068931334;
0,577;0,376911448;0,376946;0,000034552;0,0091667198;
0,576;0,376579428;0,376605;0,000025572;0,0067903687;
0,575;0,376228056;0,376263;0,000034944;0,0092875522;
0,574;0,375894184;0,37592;0,000025816;0,0068676544;
0,573;0,375541767;0,375577;0,000035233;0,0093814724;
0,572;0,37521532;0,375233;0,00001768;0,0047118501;
0,571;0,374856652;0,374888;0,000031348;0,0083623137;
0,57;0,374525844;0,374543;0,000017156;0,0045806204;
0,569;0,374165683;0,374198;0,000032317;0,0086367099;
0,568;0,373835099;0,373852;0,000016901;0,0045208751;
0,567;0,373473278;0,373505;0,000031722;0,0084934197;
0,566;0,373140958;0,373158;0,000017042;0,0045670706;
0,565;0,372777747;0,37281;0,000032253;0,008651698;
0,564;0,372446259;0,372461;0,000014741;0,0039578081;
0,563;0,372080668;0,372112;0,000031332;0,0084204001;
0,562;0,371746455;0,371763;0,000016545;0,004450515;
0,561;0,371380409;0,371412;0,000031591;0,0085060105;
0,56;0,371049259;0,371062;0,000012741;0,0034337169;
0,559;0,370678506;0,37071;0,000031494;0,0084959504;
0,558;0,370343068;0,370358;0,000014932;0,0040318559;
0,557;0,369973838;0,370006;0,000032162;0,0086926693;
0,556;0,369628864;0,369652;0,000023136;0,0062590556;
0,555;0,369264219;0,369299;0,000034781;0,0094185573;
0,554;0,368920132;0,368944;0,000023868;0,0064694837;
0,553;0,368554618;0,368589;0,000034382;0,00932844;
0,552;0,368210879;0,368234;0,000023121;0,006279085;
0,551;0,367843171;0,367878;0,000034829;0,0094679891;
0,55;0,367497639;0,367521;0,000023361;0,0063565735;
0,549;0,367128636;0,367163;0,000034364;0,0093597689;
0,548;0,366783051;0,366805;0,000021949;0,0059840124;
0,547;0,366412469;0,366447;0,000034531;0,0094236348;
0,546;0,366064879;0,366088;0,000023121;0,006315894;
0,545;0,365707094;0,365728;0,000020906;0,0057164334;
0,544;0,365333264;0,365367;0,000033736;0,009233882;
0,543;0,36498467;0,365006;0,00002133;0,0058439103;
0,542;0,364610268;0,364645;0,000034732;0,009525334;
0,541;0,364254463;0,364283;0,000028537;0,0078340515;
0,54;0,363882763;0,36392;0,000037237;0,0102327174;
0,539;0,363527459;0,363556;0,000028541;0,0078508181;
0,538;0,36315484;0,363192;0,00003716;0,0102320263;
0,537;0,362799438;0,362827;0,000027562;0,0075967464;
0,536;0,362425017;0,362462;0,000036983;0,010203797;
0,535;0,362067552;0,362096;0,000028448;0,0078567887;
0,534;0,361692128;0,361729;0,000036872;0,0101937858;
0,533;0,361334812;0,361362;0,000027188;0,0075240404;
0,532;0,360957185;0,360994;0,000036815;0,0101987505;
