r4;piO;piP;piR;piF;cV;cS;cT
000,280000000;000,366279700;000,633720300;000,000000000;000,000000000;006,337203005;005,760000000;012,097203005;
000,270000000;000,365269884;000,634730116;000,000000000;000,000000000;006,347301158;005,715000000;012,062301158;
000,260000000;000,363117498;000,636882502;000,000000000;000,000000000;006,368825019;005,670000000;012,038825019;
000,250000000;000,360930224;000,639069776;000,000000000;000,000000000;006,390697757;005,625000000;012,015697757;
000,240000000;000,358913014;000,641086986;000,000000000;000,000000000;006,410869865;005,580000000;011,990869865;
000,230000000;000,357350330;000,642649670;000,000000000;000,000000000;006,426496701;005,535000000;011,961496701;
000,220000000;000,355009103;000,644990897;000,000000000;000,000000000;006,449908974;005,490000000;011,939908974;
000,210000000;000,353123324;000,646876676;000,000000000;000,000000000;006,468766762;005,445000000;011,913766762;
000,200000000;000,351078616;000,648921384;000,000000000;000,000000000;006,489213839;005,400000000;011,889213839;
000,190000000;000,349199168;000,650800832;000,000000000;000,000000000;006,508008316;005,355000000;011,863008316;
000,180000000;000,347261422;000,652738578;000,000000000;000,000000000;006,527385781;005,310000000;011,837385781;
000,170000000;000,345315381;000,654684619;000,000000000;000,000000000;006,546846192;005,265000000;011,811846192;
000,160000000;000,343197515;000,656802485;000,000000000;000,000000000;006,568024853;005,220000000;011,788024853;
000,150000000;000,341102425;000,658897575;000,000000000;000,000000000;006,588975748;005,175000000;011,763975748;
000,140000000;000,338985294;000,661014706;000,000000000;000,000000000;006,610147060;005,130000000;011,740147060;
000,130000000;000,336806011;000,663193989;000,000000000;000,000000000;006,631939894;005,085000000;011,716939894;
000,120000000;000,334556117;000,665443883;000,000000000;000,000000000;006,654438832;005,040000000;011,694438832;
000,110000000;000,332256248;000,667743752;000,000000000;000,000000000;006,677437524;004,995000000;011,672437524;
000,100000000;000,329904704;000,670095296;000,000000000;000,000000000;006,700952965;004,950000000;011,650952965;
000,090000000;000,327489996;000,672510004;000,000000000;000,000000000;006,725100042;004,905000000;011,630100042;
000,080000000;000,325017266;000,674982734;000,000000000;000,000000000;006,749827342;004,860000000;011,609827342;
000,070000000;000,322494304;000,677505696;000,000000000;000,000000000;006,775056957;004,815000000;011,590056957;
000,060000000;000,319889649;000,680110351;000,000000000;000,000000000;006,801103514;004,770000000;011,571103514;
000,050000000;000,317218855;000,682781145;000,000000000;000,000000000;006,827811452;004,725000000;011,552811452;
000,040000000;000,314479360;000,685520640;000,000000000;000,000000000;006,855206400;004,680000000;011,535206400;
000,030000000;000,311675273;000,688324727;000,000000000;000,000000000;006,883247273;004,635000000;011,518247273;
000,020000000;000,308799792;000,691200208;000,000000000;000,000000000;006,912002082;004,590000000;011,502002082;
000,010000000;000,305849003;000,694150997;000,000000000;000,000000000;006,941509970;004,545000000;011,486509970;
r4;piO;piP;piR;piF;cV;cS;cT
001,000000000;000,540406539;000,459593461;000,000000000;000,000000000;004,595934607;009,000000000;013,595934607;
000,990000000;000,321593670;000,678406330;000,000000000;000,000000000;006,784063305;008,955000000;015,739063305;
000,980000000;000,273612570;000,726387430;000,000000000;000,000000000;007,263874295;008,910000000;016,173874295;
000,970000000;000,327378112;000,672621888;000,000000000;000,000000000;006,726218882;008,865000000;015,591218882;
000,960000000;000,388040579;000,611959421;000,000000000;000,000000000;006,119594211;008,820000000;014,939594211;
000,950000000;000,428075174;000,571924826;000,000000000;000,000000000;005,719248255;008,775000000;014,494248255;
000,940000000;000,436874671;000,563125329;000,000000000;000,000000000;005,631253288;008,730000000;014,361253288;
000,930000000;000,399296798;000,600703202;000,000000000;000,000000000;006,007032024;008,685000000;014,692032024;
000,920000000;000,437443055;000,562556945;000,000000000;000,000000000;005,625569445;008,640000000;014,265569445;
000,910000000;000,451342359;000,548657641;000,000000000;000,000000000;005,486576414;008,595000000;014,081576414;
000,900000000;000,497280280;000,502719720;000,000000000;000,000000000;005,027197198;008,550000000;013,577197198;
000,890000000;000,513217275;000,486782725;000,000000000;000,000000000;004,867827254;008,505000000;013,372827254;
000,880000000;000,499773554;000,500226446;000,000000000;000,000000000;005,002264459;008,460000000;013,462264459;
000,870000000;000,504249195;000,495750805;000,000000000;000,000000000;004,957508048;008,415000000;013,372508048;
000,860000000;000,492553088;000,507446912;000,000000000;000,000000000;005,074469119;008,370000000;013,444469119;
000,850000000;000,506206157;000,493793843;000,000000000;000,000000000;004,937938427;008,325000000;013,262938427;
000,840000000;000,518109584;000,481890416;000,000000000;000,000000000;004,818904158;008,280000000;013,098904158;
000,830000000;000,493931895;000,506068105;000,000000000;000,000000000;005,060681052;008,235000000;013,295681052;
000,820000000;000,501113508;000,498886492;000,000000000;000,000000000;004,988864919;008,190000000;013,178864919;
000,810000000;000,495753517;000,504246483;000,000000000;000,000000000;005,042464833;008,145000000;013,187464833;
000,800000000;000,485550116;000,514449884;000,000000000;000,000000000;005,144498837;008,100000000;013,244498837;
